P1,P2
4378.67,6653.94
4346.68,6706.8
4296.73,6689.06
4260.03,6724.11
4299.81,6721.34
4471.33,6660.78
4340.55,6677.69
4418.01,6648.01
4284.91,6699.19
4146.2,6659.32
4147.29,6573.87
4057.28,6526.65
3992.76,6496.03
3881.44,6454.33
3831.86,6442.61
3818.33,6415.11
3650.55,6396.72
3819.31,6410.84
3679.8,6362.23
3862.55,6395.86
3890.53,6395.75
4028,6394.13
3875.32,6311.22
3921.41,6296.06
3961.86,6270.03
3905.32,6308.09
4091.16,6371.03
3938.64,6432.27
3869.13,6373.86
3853.33,6331.73
3753.07,6327.17
3659.19,6277.25
3667.95,6200.45
3561.5,6242.42
3504.08,6245.93
3427.56,6275.08
3387.97,6219.78
3423.6,6203.48
3182.31,6150.85
3226.71,6112.15
3259.3,6122.66
3226.12,6087.45
3164.4,6044.76
3108.29,5987.69
3039.52,5921.21
3045.15,5878.32
3018.57,5960.42
3014.3,5924.12
3035.58,5866.64
3003.08,5794.15
3202.5,5786.01
3330.41,5766.77
3335.39,5778.17
3388.81,5766.21
3317.47,5800.94
3302.93,5830.23
3224.47,5873
3133.12,5883.29
3219.52,5928.12
3412.65,5924.87
3504.39,5962.37
3408.06,5955.83
3483.01,5928.92
3270.3,5881.03
3272.2,5851.41
3446.4,5820.71
3544.97,5844.06
3361.89,5841.99
3497.61,5817.99
3519.04,5784.01
3590.43,5842.51
3597.44,5832.1
3502.46,5780.53
3276.88,5761.8
3353.72,5765.65
3360.74,5798.23
3291.9,5794.85
3093.28,5799.1
3229.74,5760.91
3338.65,5791.55
3543.69,5795.45
3591.77,5823.1
3707.83,5881.99
3788.5,5889.81
3940.95,5878.17
